"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 09:03:40 GMT 2024","Mon Jan 22 09:03:42 GMT 2024","1616","batch-1","Order_Success","","","","Log In",""
"passed","Mon Jan 22 09:03:43 GMT 2024","Mon Jan 22 09:03:43 GMT 2024","598","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Mon Jan 22 09:03:43 GMT 2024","Mon Jan 22 09:03:43 GMT 2024","597","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Mon Jan 22 09:03:10 GMT 2024","Mon Jan 22 09:03:40 GMT 2024","30169","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Mon Jan 22 09:03:42 GMT 2024","Mon Jan 22 09:03:43 GMT 2024","806","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
"passed","Mon Jan 22 09:03:42 GMT 2024","Mon Jan 22 09:03:43 GMT 2024","800","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
"passed","Mon Jan 22 09:03:43 GMT 2024","Mon Jan 22 09:03:45 GMT 2024","1652","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Mon Jan 22 09:03:43 GMT 2024","Mon Jan 22 09:03:45 GMT 2024","1659","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Mon Jan 22 09:03:45 GMT 2024","Mon Jan 22 09:03:45 GMT 2024","670","batch-1","Order_Success","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 09:03:40 GMT 2024","Mon Jan 22 09:03:42 GMT 2024","1624","batch-1","Known_Issue","","","","Log In",""
"unknown","Mon Jan 22 09:03:45 GMT 2024","Mon Jan 22 09:03:46 GMT 2024","764","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 09:03:10 GMT 2024","Mon Jan 22 09:03:40 GMT 2024","30169","batch-1","Known_Issue","","","","Navigate to the website homepage",""
