"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 00:49:47 GMT 2024","Wed Jan 31 00:49:48 GMT 2024","1105","batch-1","Order_Success","","","","Log In",""
"passed","Wed Jan 31 00:49:50 GMT 2024","Wed Jan 31 00:49:52 GMT 2024","1706","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Wed Jan 31 00:49:26 GMT 2024","Wed Jan 31 00:49:47 GMT 2024","21386","batch-1","Known_Issue","","","","Navigate to the website homepage",""
"passed","Wed Jan 31 00:49:52 GMT 2024","Wed Jan 31 00:49:52 GMT 2024","749","batch-1","Order_Success","","","","Validate order summary and complete order",""
"unknown","Wed Jan 31 00:49:52 GMT 2024","Wed Jan 31 00:49:52 GMT 2024","868","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Wed Jan 31 00:49:47 GMT 2024","Wed Jan 31 00:49:48 GMT 2024","1107","batch-1","Known_Issue","","","","Log In",""
"passed","Wed Jan 31 00:49:50 GMT 2024","Wed Jan 31 00:49:52 GMT 2024","1705","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Wed Jan 31 00:49:48 GMT 2024","Wed Jan 31 00:49:49 GMT 2024","728","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
"passed","Wed Jan 31 00:49:49 GMT 2024","Wed Jan 31 00:49:50 GMT 2024","652","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Wed Jan 31 00:49:26 GMT 2024","Wed Jan 31 00:49:47 GMT 2024","21386","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Wed Jan 31 00:49:49 GMT 2024","Wed Jan 31 00:49:50 GMT 2024","651","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Wed Jan 31 00:49:48 GMT 2024","Wed Jan 31 00:49:49 GMT 2024","728","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
