"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 00:57:50 GMT 2024","Thu Jan 25 00:57:52 GMT 2024","1649","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Thu Jan 25 00:57:49 GMT 2024","Thu Jan 25 00:57:50 GMT 2024","736","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
"passed","Thu Jan 25 00:57:50 GMT 2024","Thu Jan 25 00:57:52 GMT 2024","1627","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Thu Jan 25 00:57:50 GMT 2024","Thu Jan 25 00:57:50 GMT 2024","620","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Thu Jan 25 00:57:50 GMT 2024","Thu Jan 25 00:57:50 GMT 2024","618","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Thu Jan 25 00:57:26 GMT 2024","Thu Jan 25 00:57:48 GMT 2024","21302","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Thu Jan 25 00:57:48 GMT 2024","Thu Jan 25 00:57:49 GMT 2024","1097","batch-1","Order_Success","","","","Log In",""
"passed","Thu Jan 25 00:57:52 GMT 2024","Thu Jan 25 00:57:52 GMT 2024","695","batch-1","Order_Success","","","","Validate order summary and complete order",""
"passed","Thu Jan 25 00:57:48 GMT 2024","Thu Jan 25 00:57:49 GMT 2024","1098","batch-1","Known_Issue","","","","Log In",""
"unknown","Thu Jan 25 00:57:52 GMT 2024","Thu Jan 25 00:57:53 GMT 2024","796","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Thu Jan 25 00:57:26 GMT 2024","Thu Jan 25 00:57:48 GMT 2024","21302","batch-1","Known_Issue","","","","Navigate to the website homepage",""
"passed","Thu Jan 25 00:57:49 GMT 2024","Thu Jan 25 00:57:50 GMT 2024","740","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
